Sector,Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,
Technology,LDOS US Equity,26.94%,27.81%,27.02%,25.63%,24.65%,23.75%,23.33%,22.17%,22.11%,21.72%,21.67%,20.45%,20.89%,21.31%,21.36%,19.94%,29.76%,29.94%,30.30%,28.66%,27.78%,29.76%,23.30%,22.14%,22.04%,22.42%,24.18%,31.95%,32.03%,35.00%,35.16%,34.68%,32.08%,32.17%,32.14%,36.23%,35.99%,35.80%,36.38%,34.82%,34.61%,34.65%,34.90%,34.14%,35.62%,37.27%,36.90%,36.68%,,,,
Technology,LRCX US Equity,9.58%,11.90%,10.92%,10.21%,10.95%,10.91%,11.15%,11.31%,2.22%,2.32%,2.36%,2.13%,1.11%,0.91%,0.77%,0.70%,0.64%,18.33%,19.17%,18.90%,18.07%,18.28%,16.58%,17.50%,18.14%,20.56%,20.55%,19.92%,19.62%,19.00%,19.33%,18.89%,27.41%,27.79%,26.56%,26.21%,25.59%,36.96%,35.88%,25.38%,24.06%,23.62%,20.73%,25.73%,24.05%,19.99%,22.03%,19.10%,37.34%,37.82%,36.26%,
Technology,MCHP US Equity,0.00%,0.00%,0.00%,43.95%,45.78%,45.22%,45.67%,46.95%,13.89%,14.06%,13.95%,13.87%,13.54%,12.71%,12.25%,12.22%,11.70%,11.52%,11.58%,11.70%,11.51%,11.36%,24.68%,25.27%,25.53%,25.09%,25.38%,25.47%,25.09%,30.06%,29.09%,29.37%,38.21%,38.27%,46.45%,44.18%,44.30%,45.34%,43.90%,43.73%,38.38%,37.97%,37.46%,37.42%,37.16%,58.96%,58.32%,58.07%,56.17%,56.04%,55.74%,
Technology,MSCI US Equity,,,78.75%,46.98%,43.59%,41.27%,41.00%,39.58%,38.47%,36.73%,35.59%,31.64%,30.87%,7.44%,42.93%,41.31%,38.47%,37.12%,36.37%,34.82%,34.51%,29.26%,28.35%,28.31%,27.34%,26.35%,26.20%,25.76%,25.95%,25.47%,27.53%,27.35%,27.62%,27.82%,46.89%,50.19%,55.80%,56.63%,62.73%,67.32%,69.08%,67.20%,65.85%,63.44%,62.16%,67.98%,67.64%,76.02%,83.97%,80.72%,79.39%,
Technology,MSFT US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.03%,3.04%,2.90%,7.38%,7.35%,7.30%,7.06%,6.90%,11.65%,10.48%,11.95%,10.97%,11.10%,10.63%,10.12%,9.85%,9.81%,11.03%,10.59%,10.95%,11.19%,14.96%,14.53%,13.14%,13.98%,16.19%,18.04%,20.23%,22.31%,24.67%,25.51%,28.45%,33.64%,36.11%,37.33%,38.16%,38.45%,39.12%,36.10%,33.81%,34.13%,33.02%,32.80%,30.17%,30.68%,
Technology,MU US Equity,6.15%,16.12%,16.26%,15.29%,17.45%,17.78%,20.30%,22.61%,25.12%,26.78%,24.46%,23.55%,22.75%,16.48%,16.06%,12.42%,12.09%,10.79%,13.56%,14.91%,16.37%,22.34%,22.77%,24.42%,26.24%,25.78%,31.58%,29.32%,32.20%,27.97%,29.05%,25.62%,28.21%,30.04%,30.41%,30.25%,30.70%,35.67%,35.98%,34.65%,38.40%,35.01%,31.51%,24.32%,22.58%,17.55%,10.69%,9.27%,13.14%,10.61%,11.97%,
Technology,MXIM US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.61%,9.08%,8.91%,8.69%,8.50%,8.85%,8.77%,8.41%,-7.97%,8.34%,8.26%,18.64%,12.85%,13.44%,23.31%,23.04%,22.73%,23.25%,24.25%,23.99%,23.45%,25.35%,25.40%,25.12%,29.28%,29.59%,25.11%,24.69%,32.55%,32.81%,32.62%,32.23%,33.48%,32.79%,25.50%,26.08%,26.51%,26.98%,
Technology,NTAP US Equity,2.33%,1.94%,8.37%,7.38%,4.24%,28.01%,26.20%,24.38%,19.59%,20.07%,19.37%,18.25%,16.96%,16.75%,15.55%,14.65%,14.88%,14.98%,13.83%,13.48%,13.27%,12.93%,12.87%,20.59%,20.03%,11.03%,10.82%,11.06%,10.75%,15.77%,16.28%,16.19%,15.82%,17.11%,17.24%,16.96%,23.30%,16.97%,17.03%,20.81%,20.99%,24.88%,29.18%,22.19%,19.28%,19.56%,20.96%,20.27%,20.51%,22.10%,,
Technology,ORCL US Equity,19.54%,21.96%,18.18%,17.50%,16.72%,23.77%,23.78%,25.08%,25.00%,21.59%,27.78%,27.40%,26.47%,23.80%,26.11%,25.33%,21.80%,21.65%,20.02%,20.27%,19.87%,21.03%,19.29%,24.80%,24.86%,22.61%,27.90%,28.35%,27.95%,26.70%,32.66%,33.02%,32.64%,37.83%,38.33%,39.39%,38.23%,39.09%,43.87%,43.95%,43.04%,42.90%,39.89%,43.72%,43.93%,43.97%,45.29%,49.05%,51.32%,51.67%,53.21%,
Technology,PAYX US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.84%,1.78%,0.76%,0.00%,0.75%,1.74%,0.84%,0.00%,0.80%,0.82%,8.24%,9.18%,11.39%,
