Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
FISV US Equity,0.1292,0.1363,0.1548,0.4563,0.4540,0.4470,0.4442,0.4399,0.4292,0.4222,0.4152,0.4346,0.4229,0.4203,0.4302,0.4053,0.4063,0.4351,0.4163,0.3972,0.4003,0.4058,0.4080,0.3801,0.4234,0.4190,0.4157,0.4045,0.4062,0.4092,0.4077,0.4072,0.4126,0.4418,0.4512,0.4596,0.4658,0.4779,0.4804,0.4682,0.4783,0.4895,0.5011,0.4762,0.4528,0.4703,0.4908,0.5291,0.5359,0.7208,0.2981
FTNT US Equity,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,0.0111,0.0117
HPE US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0212,,0.0222,0.0182,0.1976,0.2086,0.2077,0.2064,0.1971,0.2060,0.2062,0.2340,0.2285,0.2265,0.2309,0.2137,0.2188,0.2387,0.2434,0.2494
HPQ US Equity,0.0710,0.0999,0.1012,0.0923,0.0825,0.0915,0.1066,0.1575,0.1866,0.1721,0.1547,0.1379,0.1397,0.1523,0.1670,0.1791,0.1701,0.1832,0.2057,0.2365,0.2441,0.2355,0.2530,0.2614,0.2645,0.2521,0.2339,0.2137,0.2342,0.2172,0.1922,0.1892,0.1890,0.2077,0.2383,0.0830,0.2638,0.2653,0.2511,0.2350,0.2408,0.2377,0.2444,0.2376,0.2233,0.1905,0.2097,0.1729,0.1540,0.1577,0.1561
IBM US Equity,0.2356,0.3386,0.3252,0.2929,0.2888,0.2831,0.2969,0.3097,0.2824,0.2587,0.2197,0.2154,0.2264,0.2348,0.2321,0.2369,0.2510,0.2451,0.2564,0.2528,0.2575,0.2701,0.2759,0.2536,0.2697,0.2770,0.2875,0.2663,0.3087,0.3246,0.3265,0.2812,0.2893,0.2842,0.2941,0.2891,0.3080,0.3063,0.2947,0.2922,0.2962,0.2904,0.2808,0.3219,0.3168,0.3219,0.3330,0.3206,0.3720,0.4658,0.4373
INTU US Equity,0.0000,0.2368,0.2347,0.2525,0.2283,0.2194,0.2139,0.2431,0.2274,0.1983,0.2068,0.2241,0.2089,0.1839,0.1920,0.2019,0.2004,0.1793,0.1955,0.2133,0.2013,0.0975,0.1065,0.1110,0.0981,0.0859,0.0910,0.1227,0.1058,0.0889,0.0959,0.0990,0.0951,0.0942,0.1006,0.2218,0.2863,0.2024,0.2353,0.2797,0.2630,0.1006,0.1200,0.2153,0.2252,0.0778,0.0853,0.0862,0.0774,0.0648,0.0694
IPGP US Equity,0.0946,0.1280,0.1377,0.1186,0.1228,0.1316,0.1174,0.1248,0.1553,0.1550,0.1060,0.0768,0.0786,0.0728,0.0598,0.1103,0.0515,0.0455,0.1194,0.1160,0.0316,0.0254,0.0237,0.0201,0.0267,0.0161,0.0144,0.0150,0.0133,0.0127,0.0118,0.0294,0.0262,0.0167,0.0145,0.0135,0.0124,0.0260,0.0241,0.0228,0.0210,0.0111,0.0222,0.0207,0.0193,0.0186,0.0181,0.0176,0.0261,0.0258,0.0253
JKHY US Equity,0.0605,0.0706,0.0003,0.0278,0.0930,0.0687,0.0284,0.0791,0.0809,0.0604,0.0030,0.0701,0.0805,0.2427,0.1741,0.1752,0.1767,0.1023,0.1062,0.1005,0.0977,0.0813,0.0828,0.0824,0.0848,0.0094,0.0111,0.0061,0.0102,0.0054,0.0071,0.0486,0.0479,0.0287,0.0006,0.0587,0.0589,0.0001,0.0000,0.0291,0.0296,0.0262,0.0000,0.0522,0.0551,0.0000,0.0000,0.0000,0.0175,0.0000,0.0333
KLAC US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.1536,0.1662,0.1932,0.2049,0.2065,0.2027,0.2001,0.1967,0.1909,0.1863,0.1790,0.1677,0.1596,0.1635,0.1588,0.1514,0.1464,0.1475,0.1474,0.1439,0.1414,0.1415,0.1374,0.1363,0.1346,0.1411,0.6509,0.6603,0.6611,0.6893,0.6849,0.6477,0.6162,0.6042,0.5848,0.5550,0.5297,0.4876,0.4598,0.4398,0.3968,0.3964,0.3993,0.3725,0.3800,0.3823
LDOS US Equity,0.2694,0.2781,0.2702,0.2563,0.2465,0.2375,0.2333,0.2217,0.2211,0.2172,0.2167,0.2045,0.2089,0.2131,0.2136,0.1994,0.2976,0.2994,0.3030,0.2866,0.2778,0.2976,0.2330,0.2214,0.2204,0.2242,0.2418,0.3195,0.3203,0.3500,0.3516,0.3468,0.3208,0.3217,0.3214,0.3623,0.3599,0.3580,0.3638,0.3482,0.3461,0.3465,0.3490,0.3414,0.3562,0.3727,0.3690,0.3668,,,
LRCX US Equity,0.0958,0.1190,0.1092,0.1021,0.1095,0.1091,0.1115,0.1131,0.0222,0.0232,0.0236,0.0213,0.0111,0.0091,0.0077,0.0070,0.0064,0.1833,0.1917,0.1890,0.1807,0.1828,0.1658,0.1750,0.1814,0.2056,0.2055,0.1992,0.1962,0.1900,0.1933,0.1889,0.2741,0.2779,0.2656,0.2621,0.2559,0.3696,0.3588,0.2538,0.2406,0.2362,0.2073,0.2573,0.2405,0.1999,0.2203,0.1910,0.3734,0.3782,0.3626
